timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/29 19:54:50.202, 99 %, 77 %, 76935 MiB, 81920 MiB, 280.43 W, 63
2026/04/29 19:54:51.203, 99 %, 77 %, 76935 MiB, 81920 MiB, 295.83 W, 63
2026/04/29 19:54:52.203, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.99 W, 63
2026/04/29 19:54:53.351, 99 %, 77 %, 76935 MiB, 81920 MiB, 293.62 W, 63
2026/04/29 19:54:54.351, 99 %, 77 %, 76935 MiB, 81920 MiB, 291.43 W, 63
2026/04/29 19:54:55.352, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.97 W, 63
2026/04/29 19:54:56.492, 99 %, 77 %, 76935 MiB, 81920 MiB, 285.46 W, 62
2026/04/29 19:54:57.492, 99 %, 77 %, 76935 MiB, 81920 MiB, 296.14 W, 62
2026/04/29 19:54:58.492, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.29 W, 62
2026/04/29 19:54:59.640, 99 %, 77 %, 76935 MiB, 81920 MiB, 295.16 W, 62
2026/04/29 19:55:00.640, 99 %, 77 %, 76935 MiB, 81920 MiB, 289.68 W, 62
2026/04/29 19:55:01.640, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.47 W, 62
2026/04/29 19:55:02.796, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.21 W, 62
2026/04/29 19:55:03.796, 99 %, 77 %, 76935 MiB, 81920 MiB, 280.54 W, 62
2026/04/29 19:55:04.796, 99 %, 77 %, 76935 MiB, 81920 MiB, 294.30 W, 62
2026/04/29 19:55:05.945, 99 %, 77 %, 76935 MiB, 81920 MiB, 297.01 W, 62
2026/04/29 19:55:06.945, 99 %, 77 %, 76935 MiB, 81920 MiB, 296.70 W, 62
2026/04/29 19:55:07.946, 99 %, 77 %, 76935 MiB, 81920 MiB, 299.28 W, 62
2026/04/29 19:55:09.101, 99 %, 77 %, 76935 MiB, 81920 MiB, 278.11 W, 62
2026/04/29 19:55:10.101, 99 %, 77 %, 76935 MiB, 81920 MiB, 284.01 W, 62
2026/04/29 19:55:11.101, 99 %, 79 %, 76935 MiB, 81920 MiB, 297.17 W, 63
2026/04/29 19:55:12.237, 99 %, 76 %, 76935 MiB, 81920 MiB, 280.25 W, 62
2026/04/29 19:55:13.237, 99 %, 76 %, 76935 MiB, 81920 MiB, 276.21 W, 62
2026/04/29 19:55:14.237, 99 %, 76 %, 76935 MiB, 81920 MiB, 301.22 W, 62
2026/04/29 19:55:15.380, 99 %, 76 %, 76935 MiB, 81920 MiB, 292.01 W, 62
2026/04/29 19:55:16.380, 99 %, 76 %, 76935 MiB, 81920 MiB, 296.04 W, 62
2026/04/29 19:55:17.380, 99 %, 76 %, 76935 MiB, 81920 MiB, 297.00 W, 62
2026/04/29 19:55:18.528, 99 %, 76 %, 76935 MiB, 81920 MiB, 300.83 W, 62
2026/04/29 19:55:19.528, 99 %, 76 %, 76935 MiB, 81920 MiB, 301.03 W, 62
2026/04/29 19:55:20.528, 99 %, 76 %, 76935 MiB, 81920 MiB, 301.22 W, 62
2026/04/29 19:55:21.680, 99 %, 76 %, 76935 MiB, 81920 MiB, 278.63 W, 62
2026/04/29 19:55:22.680, 99 %, 74 %, 76935 MiB, 81920 MiB, 291.03 W, 62
2026/04/29 19:55:23.680, 99 %, 76 %, 76935 MiB, 81920 MiB, 297.09 W, 62
2026/04/29 19:55:24.827, 99 %, 75 %, 76935 MiB, 81920 MiB, 294.99 W, 62
2026/04/29 19:55:25.827, 99 %, 75 %, 76935 MiB, 81920 MiB, 297.30 W, 62
2026/04/29 19:55:26.827, 99 %, 76 %, 76935 MiB, 81920 MiB, 300.85 W, 62
2026/04/29 19:55:27.982, 99 %, 76 %, 76935 MiB, 81920 MiB, 296.72 W, 62
2026/04/29 19:55:28.982, 99 %, 76 %, 76935 MiB, 81920 MiB, 299.41 W, 62
2026/04/29 19:55:29.983, 99 %, 76 %, 76935 MiB, 81920 MiB, 298.05 W, 62
2026/04/29 19:55:31.130, 99 %, 76 %, 76935 MiB, 81920 MiB, 281.03 W, 62
2026/04/29 19:55:32.130, 98 %, 76 %, 76935 MiB, 81920 MiB, 286.92 W, 62
2026/04/29 19:55:33.130, 99 %, 75 %, 76935 MiB, 81920 MiB, 291.02 W, 62
2026/04/29 19:55:34.270, 99 %, 76 %, 76935 MiB, 81920 MiB, 294.99 W, 62
2026/04/29 19:55:35.271, 99 %, 76 %, 76935 MiB, 81920 MiB, 298.74 W, 62
2026/04/29 19:55:36.271, 99 %, 76 %, 76935 MiB, 81920 MiB, 294.98 W, 62
2026/04/29 19:55:37.409, 99 %, 76 %, 76935 MiB, 81920 MiB, 300.36 W, 62
2026/04/29 19:55:38.409, 98 %, 76 %, 76935 MiB, 81920 MiB, 301.51 W, 62
2026/04/29 19:55:39.409, 98 %, 76 %, 76935 MiB, 81920 MiB, 300.83 W, 62
2026/04/29 19:55:40.560, 99 %, 76 %, 76935 MiB, 81920 MiB, 293.46 W, 62
2026/04/29 19:55:41.560, 99 %, 77 %, 76935 MiB, 81920 MiB, 292.40 W, 62
2026/04/29 19:55:42.560, 99 %, 76 %, 76935 MiB, 81920 MiB, 296.80 W, 62
2026/04/29 19:55:43.706, 99 %, 76 %, 76935 MiB, 81920 MiB, 303.33 W, 62
2026/04/29 19:55:44.706, 99 %, 76 %, 76935 MiB, 81920 MiB, 294.78 W, 62
2026/04/29 19:55:45.706, 99 %, 76 %, 76935 MiB, 81920 MiB, 299.42 W, 62
2026/04/29 19:55:46.849, 99 %, 76 %, 76935 MiB, 81920 MiB, 299.14 W, 62
2026/04/29 19:55:47.850, 99 %, 76 %, 76935 MiB, 81920 MiB, 298.33 W, 62
2026/04/29 19:55:48.850, 99 %, 76 %, 76935 MiB, 81920 MiB, 301.12 W, 62
2026/04/29 19:55:49.991, 99 %, 76 %, 76935 MiB, 81920 MiB, 294.32 W, 62
2026/04/29 19:55:50.992, 99 %, 76 %, 76935 MiB, 81920 MiB, 282.49 W, 62
2026/04/29 19:55:51.992, 99 %, 76 %, 76935 MiB, 81920 MiB, 284.38 W, 62
2026/04/29 19:55:53.126, 99 %, 76 %, 76935 MiB, 81920 MiB, 297.08 W, 62
2026/04/29 19:55:54.126, 99 %, 76 %, 76935 MiB, 81920 MiB, 294.88 W, 62
2026/04/29 19:55:55.127, 99 %, 76 %, 76935 MiB, 81920 MiB, 297.47 W, 62
2026/04/29 19:55:56.277, 99 %, 76 %, 76935 MiB, 81920 MiB, 301.60 W, 62
2026/04/29 19:55:57.278, 98 %, 76 %, 76935 MiB, 81920 MiB, 295.95 W, 62
2026/04/29 19:55:58.278, 98 %, 76 %, 76935 MiB, 81920 MiB, 293.27 W, 62
2026/04/29 19:55:59.424, 98 %, 75 %, 76935 MiB, 81920 MiB, 287.57 W, 62
2026/04/29 19:56:00.425, 98 %, 76 %, 76935 MiB, 81920 MiB, 288.25 W, 62
2026/04/29 19:56:01.425, 98 %, 76 %, 76935 MiB, 81920 MiB, 300.45 W, 62
2026/04/29 19:56:02.570, 98 %, 76 %, 76935 MiB, 81920 MiB, 294.20 W, 62
2026/04/29 19:56:03.570, 98 %, 76 %, 76935 MiB, 81920 MiB, 299.48 W, 62
2026/04/29 19:56:04.570, 98 %, 76 %, 76935 MiB, 81920 MiB, 298.45 W, 62
2026/04/29 19:56:05.731, 98 %, 75 %, 76935 MiB, 81920 MiB, 299.49 W, 62
2026/04/29 19:56:06.732, 99 %, 75 %, 76935 MiB, 81920 MiB, 294.60 W, 62
2026/04/29 19:56:07.732, 99 %, 76 %, 76935 MiB, 81920 MiB, 300.35 W, 62
2026/04/29 19:56:08.878, 99 %, 76 %, 76935 MiB, 81920 MiB, 306.59 W, 62
2026/04/29 19:56:09.878, 99 %, 75 %, 76935 MiB, 81920 MiB, 278.75 W, 62
2026/04/29 19:56:10.878, 99 %, 76 %, 76935 MiB, 81920 MiB, 304.69 W, 62
2026/04/29 19:56:12.025, 98 %, 80 %, 76935 MiB, 81920 MiB, 301.00 W, 62
2026/04/29 19:56:13.025, 99 %, 74 %, 76935 MiB, 81920 MiB, 290.09 W, 62
2026/04/29 19:56:14.025, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.44 W, 62
2026/04/29 19:56:15.146, 99 %, 74 %, 76935 MiB, 81920 MiB, 289.21 W, 62
2026/04/29 19:56:16.146, 98 %, 74 %, 76935 MiB, 81920 MiB, 284.41 W, 62
2026/04/29 19:56:17.146, 98 %, 74 %, 76935 MiB, 81920 MiB, 289.31 W, 62
2026/04/29 19:56:18.258, 99 %, 74 %, 76935 MiB, 81920 MiB, 287.58 W, 62
2026/04/29 19:56:19.258, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.33 W, 62
2026/04/29 19:56:20.258, 99 %, 74 %, 76935 MiB, 81920 MiB, 275.64 W, 62
2026/04/29 19:56:21.371, 99 %, 73 %, 76935 MiB, 81920 MiB, 297.09 W, 62
2026/04/29 19:56:22.371, 98 %, 74 %, 76935 MiB, 81920 MiB, 287.20 W, 62
2026/04/29 19:56:23.371, 98 %, 74 %, 76935 MiB, 81920 MiB, 298.05 W, 62
2026/04/29 19:56:24.481, 98 %, 74 %, 76935 MiB, 81920 MiB, 306.80 W, 62
2026/04/29 19:56:25.481, 98 %, 74 %, 76935 MiB, 81920 MiB, 294.98 W, 62
2026/04/29 19:56:26.481, 98 %, 73 %, 76935 MiB, 81920 MiB, 287.48 W, 62
2026/04/29 19:56:27.591, 98 %, 74 %, 76935 MiB, 81920 MiB, 287.86 W, 62
2026/04/29 19:56:28.591, 98 %, 74 %, 76935 MiB, 81920 MiB, 290.67 W, 62
2026/04/29 19:56:29.592, 99 %, 74 %, 76935 MiB, 81920 MiB, 294.03 W, 62
2026/04/29 19:56:30.708, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.05 W, 62
2026/04/29 19:56:31.709, 99 %, 74 %, 76935 MiB, 81920 MiB, 279.02 W, 62
2026/04/29 19:56:32.709, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.72 W, 62
2026/04/29 19:56:33.821, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.30 W, 62
2026/04/29 19:56:34.821, 99 %, 74 %, 76935 MiB, 81920 MiB, 289.02 W, 62
2026/04/29 19:56:35.821, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.23 W, 62
2026/04/29 19:56:36.937, 99 %, 74 %, 76935 MiB, 81920 MiB, 288.83 W, 62
2026/04/29 19:56:37.937, 99 %, 74 %, 76935 MiB, 81920 MiB, 280.54 W, 62
2026/04/29 19:56:38.938, 99 %, 74 %, 76935 MiB, 81920 MiB, 300.38 W, 62
2026/04/29 19:56:40.065, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.77 W, 62
2026/04/29 19:56:41.065, 99 %, 74 %, 76935 MiB, 81920 MiB, 295.84 W, 62
2026/04/29 19:56:42.065, 99 %, 74 %, 76935 MiB, 81920 MiB, 284.13 W, 62
2026/04/29 19:56:43.182, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.62 W, 62
2026/04/29 19:56:44.183, 99 %, 74 %, 76935 MiB, 81920 MiB, 297.70 W, 62
2026/04/29 19:56:45.183, 98 %, 74 %, 76935 MiB, 81920 MiB, 285.38 W, 62
2026/04/29 19:56:46.285, 99 %, 74 %, 76935 MiB, 81920 MiB, 294.80 W, 62
2026/04/29 19:56:47.286, 99 %, 73 %, 76935 MiB, 81920 MiB, 290.75 W, 62
2026/04/29 19:56:48.286, 98 %, 75 %, 76935 MiB, 81920 MiB, 286.81 W, 62
2026/04/29 19:56:49.404, 98 %, 74 %, 76935 MiB, 81920 MiB, 291.81 W, 62
2026/04/29 19:56:50.405, 99 %, 74 %, 76935 MiB, 81920 MiB, 288.33 W, 62
2026/04/29 19:56:51.405, 99 %, 74 %, 76935 MiB, 81920 MiB, 288.36 W, 62
2026/04/29 19:56:52.513, 99 %, 74 %, 76935 MiB, 81920 MiB, 276.11 W, 62
2026/04/29 19:56:53.514, 98 %, 74 %, 76935 MiB, 81920 MiB, 280.45 W, 62
2026/04/29 19:56:54.514, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.49 W, 62
2026/04/29 19:56:55.633, 99 %, 74 %, 76935 MiB, 81920 MiB, 289.32 W, 62
2026/04/29 19:56:56.633, 99 %, 74 %, 76935 MiB, 81920 MiB, 286.53 W, 62
2026/04/29 19:56:57.633, 99 %, 74 %, 76935 MiB, 81920 MiB, 287.01 W, 62
2026/04/29 19:56:58.747, 99 %, 74 %, 76935 MiB, 81920 MiB, 280.94 W, 62
2026/04/29 19:56:59.747, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.17 W, 62
2026/04/29 19:57:00.748, 99 %, 74 %, 76935 MiB, 81920 MiB, 288.53 W, 62
2026/04/29 19:57:01.877, 99 %, 73 %, 76935 MiB, 81920 MiB, 287.69 W, 61
2026/04/29 19:57:02.878, 99 %, 73 %, 76935 MiB, 81920 MiB, 286.51 W, 62
2026/04/29 19:57:03.878, 99 %, 73 %, 76935 MiB, 81920 MiB, 278.23 W, 61
2026/04/29 19:57:04.991, 99 %, 74 %, 76935 MiB, 81920 MiB, 290.37 W, 62
2026/04/29 19:57:05.991, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.09 W, 62
2026/04/29 19:57:06.991, 99 %, 74 %, 76935 MiB, 81920 MiB, 285.93 W, 62
2026/04/29 19:57:08.099, 99 %, 74 %, 76935 MiB, 81920 MiB, 289.13 W, 61
2026/04/29 19:57:09.099, 98 %, 74 %, 76935 MiB, 81920 MiB, 291.34 W, 62
2026/04/29 19:57:10.100, 99 %, 75 %, 76935 MiB, 81920 MiB, 292.86 W, 62
2026/04/29 19:57:11.194, 98 %, 74 %, 76935 MiB, 81920 MiB, 290.17 W, 61
2026/04/29 19:57:12.194, 99 %, 80 %, 76935 MiB, 81920 MiB, 294.41 W, 62
2026/04/29 19:57:13.195, 87 %, 77 %, 76935 MiB, 81920 MiB, 279.89 W, 61
2026/04/29 19:57:14.342, 98 %, 72 %, 76935 MiB, 81920 MiB, 287.40 W, 62
2026/04/29 19:57:15.343, 98 %, 72 %, 76935 MiB, 81920 MiB, 290.95 W, 62
2026/04/29 19:57:16.343, 98 %, 72 %, 76935 MiB, 81920 MiB, 297.59 W, 62
2026/04/29 19:57:17.454, 99 %, 72 %, 76935 MiB, 81920 MiB, 290.95 W, 62
2026/04/29 19:57:18.454, 98 %, 72 %, 76935 MiB, 81920 MiB, 295.77 W, 62
2026/04/29 19:57:19.454, 98 %, 71 %, 76935 MiB, 81920 MiB, 286.42 W, 62
2026/04/29 19:57:20.565, 99 %, 72 %, 76935 MiB, 81920 MiB, 297.58 W, 62
2026/04/29 19:57:21.565, 98 %, 72 %, 76935 MiB, 81920 MiB, 310.61 W, 63
2026/04/29 19:57:22.565, 99 %, 72 %, 76935 MiB, 81920 MiB, 301.03 W, 62
2026/04/29 19:57:23.677, 99 %, 72 %, 76935 MiB, 81920 MiB, 288.04 W, 63
2026/04/29 19:57:24.677, 99 %, 71 %, 76935 MiB, 81920 MiB, 294.21 W, 63
2026/04/29 19:57:25.677, 99 %, 72 %, 76935 MiB, 81920 MiB, 296.33 W, 63
2026/04/29 19:57:26.783, 99 %, 72 %, 76935 MiB, 81920 MiB, 295.17 W, 63
2026/04/29 19:57:27.784, 99 %, 72 %, 76935 MiB, 81920 MiB, 287.13 W, 63
2026/04/29 19:57:28.784, 99 %, 72 %, 76935 MiB, 81920 MiB, 289.23 W, 63
2026/04/29 19:57:29.883, 99 %, 72 %, 76935 MiB, 81920 MiB, 298.45 W, 63
2026/04/29 19:57:30.883, 99 %, 72 %, 76935 MiB, 81920 MiB, 307.76 W, 64
2026/04/29 19:57:31.884, 99 %, 73 %, 76935 MiB, 81920 MiB, 298.83 W, 64
2026/04/29 19:57:32.993, 99 %, 72 %, 76935 MiB, 81920 MiB, 296.63 W, 64
2026/04/29 19:57:33.993, 99 %, 72 %, 76935 MiB, 81920 MiB, 305.60 W, 64
2026/04/29 19:57:34.994, 99 %, 72 %, 76935 MiB, 81920 MiB, 305.53 W, 64
2026/04/29 19:57:36.121, 99 %, 72 %, 76935 MiB, 81920 MiB, 291.62 W, 64
2026/04/29 19:57:37.121, 98 %, 71 %, 76935 MiB, 81920 MiB, 293.15 W, 64
2026/04/29 19:57:38.121, 99 %, 72 %, 76935 MiB, 81920 MiB, 304.01 W, 64
2026/04/29 19:57:39.242, 99 %, 72 %, 76935 MiB, 81920 MiB, 310.32 W, 64
2026/04/29 19:57:40.243, 99 %, 73 %, 76935 MiB, 81920 MiB, 301.52 W, 64
2026/04/29 19:57:41.243, 99 %, 72 %, 76935 MiB, 81920 MiB, 304.96 W, 64
2026/04/29 19:57:42.350, 98 %, 72 %, 76935 MiB, 81920 MiB, 295.16 W, 64
2026/04/29 19:57:43.350, 99 %, 72 %, 76935 MiB, 81920 MiB, 299.69 W, 64
2026/04/29 19:57:44.350, 98 %, 72 %, 76935 MiB, 81920 MiB, 299.77 W, 63
2026/04/29 19:57:45.464, 99 %, 72 %, 76935 MiB, 81920 MiB, 299.79 W, 63
2026/04/29 19:57:46.464, 99 %, 72 %, 76935 MiB, 81920 MiB, 282.47 W, 63
2026/04/29 19:57:47.465, 98 %, 71 %, 76935 MiB, 81920 MiB, 294.39 W, 63
2026/04/29 19:57:48.571, 98 %, 71 %, 76935 MiB, 81920 MiB, 287.38 W, 63
2026/04/29 19:57:49.572, 99 %, 72 %, 76935 MiB, 81920 MiB, 277.65 W, 63
2026/04/29 19:57:50.572, 98 %, 72 %, 76935 MiB, 81920 MiB, 321.91 W, 63
2026/04/29 19:57:51.689, 98 %, 71 %, 76935 MiB, 81920 MiB, 292.10 W, 63
2026/04/29 19:57:52.689, 98 %, 72 %, 76935 MiB, 81920 MiB, 292.77 W, 63
2026/04/29 19:57:53.689, 98 %, 72 %, 76935 MiB, 81920 MiB, 297.60 W, 63
2026/04/29 19:57:54.799, 99 %, 72 %, 76935 MiB, 81920 MiB, 299.52 W, 63
2026/04/29 19:57:55.799, 99 %, 72 %, 76935 MiB, 81920 MiB, 311.10 W, 63
2026/04/29 19:57:56.799, 99 %, 71 %, 76935 MiB, 81920 MiB, 277.38 W, 63
2026/04/29 19:57:57.911, 99 %, 72 %, 76935 MiB, 81920 MiB, 293.74 W, 63
2026/04/29 19:57:58.911, 99 %, 72 %, 76935 MiB, 81920 MiB, 288.08 W, 63
2026/04/29 19:57:59.911, 99 %, 72 %, 76935 MiB, 81920 MiB, 293.94 W, 63
2026/04/29 19:58:01.010, 99 %, 72 %, 76935 MiB, 81920 MiB, 281.52 W, 63
2026/04/29 19:58:02.011, 99 %, 72 %, 76935 MiB, 81920 MiB, 293.73 W, 63
2026/04/29 19:58:03.011, 99 %, 72 %, 76935 MiB, 81920 MiB, 294.80 W, 62
2026/04/29 19:58:04.117, 99 %, 72 %, 76935 MiB, 81920 MiB, 298.25 W, 62
2026/04/29 19:58:05.117, 99 %, 72 %, 76935 MiB, 81920 MiB, 293.74 W, 62
2026/04/29 19:58:06.118, 99 %, 71 %, 76935 MiB, 81920 MiB, 293.54 W, 62
2026/04/29 19:58:07.217, 99 %, 72 %, 76935 MiB, 81920 MiB, 299.02 W, 63
2026/04/29 19:58:08.217, 99 %, 72 %, 76935 MiB, 81920 MiB, 294.70 W, 62
2026/04/29 19:58:09.217, 99 %, 72 %, 76935 MiB, 81920 MiB, 290.75 W, 62
2026/04/29 19:58:10.318, 99 %, 72 %, 76935 MiB, 81920 MiB, 293.24 W, 62
2026/04/29 19:58:11.319, 99 %, 72 %, 76935 MiB, 81920 MiB, 296.42 W, 63
2026/04/29 19:58:12.327, 98 %, 72 %, 76935 MiB, 81920 MiB, 274.96 W, 62
2026/04/29 19:58:13.417, 99 %, 84 %, 76935 MiB, 81920 MiB, 312.13 W, 61
2026/04/29 19:58:14.417, 99 %, 67 %, 76935 MiB, 81920 MiB, 293.62 W, 63
2026/04/29 19:58:15.417, 99 %, 66 %, 76935 MiB, 81920 MiB, 317.87 W, 63
2026/04/29 19:58:16.507, 99 %, 66 %, 76935 MiB, 81920 MiB, 293.92 W, 63
2026/04/29 19:58:17.507, 99 %, 66 %, 76935 MiB, 81920 MiB, 292.97 W, 63
2026/04/29 19:58:18.507, 99 %, 66 %, 76935 MiB, 81920 MiB, 298.53 W, 63
2026/04/29 19:58:19.588, 99 %, 65 %, 76935 MiB, 81920 MiB, 300.66 W, 63
2026/04/29 19:58:20.588, 99 %, 66 %, 76935 MiB, 81920 MiB, 295.05 W, 63
2026/04/29 19:58:21.588, 99 %, 66 %, 76935 MiB, 81920 MiB, 300.64 W, 63
2026/04/29 19:58:22.678, 99 %, 66 %, 76935 MiB, 81920 MiB, 285.94 W, 63
2026/04/29 19:58:23.678, 99 %, 66 %, 76935 MiB, 81920 MiB, 299.97 W, 63
2026/04/29 19:58:24.678, 99 %, 66 %, 76935 MiB, 81920 MiB, 309.51 W, 63
2026/04/29 19:58:25.766, 99 %, 65 %, 76935 MiB, 81920 MiB, 292.87 W, 63
2026/04/29 19:58:26.766, 99 %, 65 %, 76935 MiB, 81920 MiB, 302.45 W, 63
2026/04/29 19:58:27.766, 99 %, 65 %, 76935 MiB, 81920 MiB, 296.04 W, 63
2026/04/29 19:58:28.849, 98 %, 65 %, 76935 MiB, 81920 MiB, 291.51 W, 63
2026/04/29 19:58:29.849, 99 %, 66 %, 76935 MiB, 81920 MiB, 300.62 W, 63
2026/04/29 19:58:30.849, 98 %, 66 %, 76935 MiB, 81920 MiB, 291.70 W, 63
2026/04/29 19:58:31.927, 98 %, 66 %, 76935 MiB, 81920 MiB, 286.02 W, 63
2026/04/29 19:58:32.928, 98 %, 65 %, 76935 MiB, 81920 MiB, 281.21 W, 63
2026/04/29 19:58:33.928, 98 %, 65 %, 76935 MiB, 81920 MiB, 290.27 W, 63
2026/04/29 19:58:34.998, 99 %, 66 %, 76935 MiB, 81920 MiB, 300.64 W, 63
2026/04/29 19:58:35.998, 99 %, 66 %, 76935 MiB, 81920 MiB, 303.59 W, 63
2026/04/29 19:58:36.998, 99 %, 66 %, 76935 MiB, 81920 MiB, 287.96 W, 63
2026/04/29 19:58:38.092, 99 %, 66 %, 76935 MiB, 81920 MiB, 274.09 W, 63
2026/04/29 19:58:39.093, 99 %, 67 %, 76935 MiB, 81920 MiB, 299.39 W, 63
2026/04/29 19:58:40.093, 99 %, 65 %, 76935 MiB, 81920 MiB, 293.65 W, 63
2026/04/29 19:58:41.181, 99 %, 66 %, 76935 MiB, 81920 MiB, 297.57 W, 63
2026/04/29 19:58:42.181, 99 %, 65 %, 76935 MiB, 81920 MiB, 297.88 W, 63
2026/04/29 19:58:43.181, 98 %, 65 %, 76935 MiB, 81920 MiB, 304.37 W, 63
2026/04/29 19:58:44.257, 99 %, 66 %, 76935 MiB, 81920 MiB, 291.92 W, 63
2026/04/29 19:58:45.257, 98 %, 66 %, 76935 MiB, 81920 MiB, 305.52 W, 63
2026/04/29 19:58:46.257, 99 %, 66 %, 76935 MiB, 81920 MiB, 285.76 W, 63
2026/04/29 19:58:47.342, 99 %, 66 %, 76935 MiB, 81920 MiB, 299.87 W, 63
2026/04/29 19:58:48.342, 99 %, 66 %, 76935 MiB, 81920 MiB, 295.46 W, 63
2026/04/29 19:58:49.342, 99 %, 65 %, 76935 MiB, 81920 MiB, 303.40 W, 63
2026/04/29 19:58:50.423, 99 %, 66 %, 76935 MiB, 81920 MiB, 302.10 W, 63
2026/04/29 19:58:51.423, 98 %, 65 %, 76935 MiB, 81920 MiB, 306.32 W, 63
2026/04/29 19:58:52.424, 99 %, 66 %, 76935 MiB, 81920 MiB, 300.47 W, 63
2026/04/29 19:58:53.494, 99 %, 66 %, 76935 MiB, 81920 MiB, 302.95 W, 63
2026/04/29 19:58:54.494, 99 %, 65 %, 76935 MiB, 81920 MiB, 290.64 W, 63
2026/04/29 19:58:55.494, 99 %, 67 %, 76935 MiB, 81920 MiB, 298.45 W, 63
2026/04/29 19:58:56.573, 98 %, 65 %, 76935 MiB, 81920 MiB, 305.55 W, 63
2026/04/29 19:58:57.573, 98 %, 65 %, 76935 MiB, 81920 MiB, 296.34 W, 63
2026/04/29 19:58:58.573, 98 %, 66 %, 76935 MiB, 81920 MiB, 295.92 W, 63
2026/04/29 19:58:59.652, 98 %, 65 %, 76935 MiB, 81920 MiB, 301.70 W, 63
2026/04/29 19:59:00.652, 99 %, 66 %, 76935 MiB, 81920 MiB, 278.37 W, 63
2026/04/29 19:59:01.653, 99 %, 66 %, 76935 MiB, 81920 MiB, 307.44 W, 63
2026/04/29 19:59:02.741, 99 %, 66 %, 76935 MiB, 81920 MiB, 309.87 W, 63
2026/04/29 19:59:03.742, 99 %, 65 %, 76935 MiB, 81920 MiB, 293.26 W, 63
2026/04/29 19:59:04.742, 99 %, 66 %, 76935 MiB, 81920 MiB, 308.94 W, 63
2026/04/29 19:59:05.826, 99 %, 65 %, 76935 MiB, 81920 MiB, 301.82 W, 63
2026/04/29 19:59:06.826, 99 %, 65 %, 76935 MiB, 81920 MiB, 293.75 W, 63
2026/04/29 19:59:07.826, 99 %, 66 %, 76935 MiB, 81920 MiB, 289.31 W, 63
2026/04/29 19:59:08.895, 99 %, 65 %, 76935 MiB, 81920 MiB, 287.17 W, 63
2026/04/29 19:59:09.897, 99 %, 65 %, 76935 MiB, 81920 MiB, 301.40 W, 63
2026/04/29 19:59:10.897, 98 %, 66 %, 76935 MiB, 81920 MiB, 302.97 W, 63
2026/04/29 19:59:11.984, 99 %, 66 %, 76935 MiB, 81920 MiB, 288.16 W, 63
2026/04/29 19:59:12.984, 99 %, 66 %, 76935 MiB, 81920 MiB, 298.74 W, 63
2026/04/29 19:59:13.984, 99 %, 75 %, 76935 MiB, 81920 MiB, 289.90 W, 63
2026/04/29 19:59:15.077, 99 %, 65 %, 76935 MiB, 81920 MiB, 306.05 W, 63
2026/04/29 19:59:16.077, 99 %, 62 %, 76935 MiB, 81920 MiB, 310.36 W, 63
2026/04/29 19:59:17.078, 99 %, 63 %, 76935 MiB, 81920 MiB, 310.82 W, 63
2026/04/29 19:59:18.148, 99 %, 62 %, 76935 MiB, 81920 MiB, 311.85 W, 63
2026/04/29 19:59:19.148, 99 %, 62 %, 76935 MiB, 81920 MiB, 295.73 W, 63
2026/04/29 19:59:20.149, 99 %, 62 %, 76935 MiB, 81920 MiB, 293.93 W, 63
2026/04/29 19:59:21.217, 98 %, 63 %, 76935 MiB, 81920 MiB, 288.15 W, 63
2026/04/29 19:59:22.217, 99 %, 62 %, 76935 MiB, 81920 MiB, 291.74 W, 63
2026/04/29 19:59:23.217, 99 %, 62 %, 76935 MiB, 81920 MiB, 285.06 W, 63
2026/04/29 19:59:24.290, 99 %, 62 %, 76935 MiB, 81920 MiB, 294.12 W, 63
2026/04/29 19:59:25.290, 99 %, 62 %, 76935 MiB, 81920 MiB, 293.19 W, 63
2026/04/29 19:59:26.291, 99 %, 62 %, 76935 MiB, 81920 MiB, 300.83 W, 63
2026/04/29 19:59:27.346, 99 %, 62 %, 76935 MiB, 81920 MiB, 308.08 W, 63
2026/04/29 19:59:28.348, 98 %, 62 %, 76935 MiB, 81920 MiB, 307.36 W, 63
2026/04/29 19:59:29.348, 98 %, 63 %, 76935 MiB, 81920 MiB, 302.37 W, 63
2026/04/29 19:59:30.416, 98 %, 62 %, 76935 MiB, 81920 MiB, 290.63 W, 63
2026/04/29 19:59:31.416, 99 %, 62 %, 76935 MiB, 81920 MiB, 295.08 W, 63
2026/04/29 19:59:32.417, 99 %, 62 %, 76935 MiB, 81920 MiB, 294.68 W, 63
